HOUSE DISTRICT 35 ,Number of Precincts Reporting ,NP ,Total ,14,NA
HOUSE DISTRICT 35 ,Registered Voters ,NP ,Total ,15246,NA
HOUSE DISTRICT 35 ,Times Counted ,NP ,Total ,7576,NA
HOUSE DISTRICT 35 ,"Wein, Richard J. ",REP ,Total ,3178,NA
HOUSE DISTRICT 35 ,"Kreiss-Tomkins, Jona ",DEM ,Total ,4261,NA
HOUSE DISTRICT 35 ,Write-in ,NP ,Total ,33,NA
HOUSE DISTRICT 36 ,Number of Precincts for Race ,NP ,Total ,10,NA
HOUSE DISTRICT 36 ,Number of Precincts Reporting ,NP ,Total ,10,NA
HOUSE DISTRICT 36 ,Registered Voters ,NP ,Total ,14699,NA
HOUSE DISTRICT 36 ,Times Counted ,NP ,Total ,6895,NA
HOUSE DISTRICT 36 ,"Ortiz, Daniel H.  ",NA ,Total ,4042,NA
HOUSE DISTRICT 36 ,"Shaw, Trevor A. ",REP ,Total ,2649,NA
HOUSE DISTRICT 36 ,Write-in ,NP ,Total ,68,NA
HOUSE DISTRICT 37 ,Number of Precincts for Race ,NP ,Total ,35,NA
HOUSE DISTRICT 37 ,Number of Precincts Reporting ,NP ,Total ,35,NA
HOUSE DISTRICT 37 ,Registered Voters ,NP ,Total ,10478,NA
HOUSE DISTRICT 37 ,Times Counted ,NP ,Total ,4498,NA
HOUSE DISTRICT 37 ,"Weatherby, William W ",REP ,Total ,1534,NA
HOUSE DISTRICT 37 ,"Edgmon, Bryce E. ",DEM ,Total ,2846,NA
HOUSE DISTRICT 37 ,Write-in ,NP ,Total ,13,NA
HOUSE DISTRICT 38 ,Number of Precincts for Race ,NP ,Total ,31,NA
HOUSE DISTRICT 38 ,Number of Precincts Reporting ,NP ,Total ,31,NA
HOUSE DISTRICT 38 ,Registered Voters ,NP ,Total ,11803,NA
HOUSE DISTRICT 38 ,Times Counted ,NP ,Total ,5176,NA
HOUSE DISTRICT 38 ,"Zulkosky, Tiffany ",DEM ,Total ,2824,NA
HOUSE DISTRICT 38 ,"Deacon, Darren M. ",REP ,Total ,2223,NA
HOUSE DISTRICT 38 ,Write-in ,NP ,Total ,14,NA
HOUSE DISTRICT 39 ,Number of Precincts for Race ,NP ,Total ,33,NA
