Election Code,Election Title,County Code,County Name,Contest Code,Contest Title,Candidate Number,Candidate Name,Votes,Party Code
1001030,GENERAL ELECTION 2018,26,Dale,1000920,AL-02,2,Martha Roby,9921,REP
1001030,GENERAL ELECTION 2018,26,Dale,1000920,AL-02,3,Write-In,45,NON
1001030,GENERAL ELECTION 2018,26,Dale,1001000,GOVERNOR,1,Walt Maddox,3727,DEM
1001030,GENERAL ELECTION 2018,26,Dale,1001000,GOVERNOR,2,Kay Ivey,10522,REP
1001030,GENERAL ELECTION 2018,26,Dale,1001000,GOVERNOR,3,Write-In,47,NON
1001030,GENERAL ELECTION 2018,27,Dallas,1000970,AL-07,1,Terri A. Sewell,11195,DEM
1001030,GENERAL ELECTION 2018,27,Dallas,1000970,AL-07,2,Write-In,298,NON
1001030,GENERAL ELECTION 2018,27,Dallas,1001000,GOVERNOR,1,Walt Maddox,10284,DEM
1001030,GENERAL ELECTION 2018,27,Dallas,1001000,GOVERNOR,2,Kay Ivey,4914,REP
1001030,GENERAL ELECTION 2018,27,Dallas,1001000,GOVERNOR,3,Write-In,8,NON
1001030,GENERAL ELECTION 2018,28,DeKalb,1000940,AL-04,1,Lee Auman,3698,DEM
1001030,GENERAL ELECTION 2018,28,DeKalb,1000940,AL-04,2,Robert Aderholt,17457,REP
1001030,GENERAL ELECTION 2018,28,DeKalb,1000940,AL-04,3,Write-In,41,NON
1001030,GENERAL ELECTION 2018,28,DeKalb,1001000,GOVERNOR,1,Walt Maddox,4084,DEM
1001030,GENERAL ELECTION 2018,28,DeKalb,1001000,GOVERNOR,2,Kay Ivey,17305,REP
1001030,GENERAL ELECTION 2018,28,DeKalb,1001000,GOVERNOR,3,Write-In,87,NON
1001030,GENERAL ELECTION 2018,29,Elmore,1000920,AL-02,1,Tabitha Isner,8282,DEM
1001030,GENERAL ELECTION 2018,29,Elmore,1000920,AL-02,2,Martha Roby,21009,REP
1001030,GENERAL ELECTION 2018,29,Elmore,1000920,AL-02,3,Write-In,61,NON
1001030,GENERAL ELECTION 2018,29,Elmore,1001000,GOVERNOR,1,Walt Maddox,7711,DEM
1001030,GENERAL ELECTION 2018,29,Elmore,1001000,GOVERNOR,2,Kay Ivey,21743,REP
1001030,GENERAL ELECTION 2018,29,Elmore,1001000,GOVERNOR,3,Write-In,31,NON
1001030,GENERAL ELECTION 2018,30,Escambia,1000910,AL-01,1,"Robert Kennedy, Jr.",3763,DEM
1001030,GENERAL ELECTION 2018,30,Escambia,1000910,AL-01,2,Bradley Byrne,8310,REP
1001030,GENERAL ELECTION 2018,30,Escambia,1000910,AL-01,3,Write-In,2,NON
1001030,GENERAL ELECTION 2018,30,Escambia,1001000,GOVERNOR,1,Walt Maddox,4035,DEM
1001030,GENERAL ELECTION 2018,30,Escambia,1001000,GOVERNOR,2,Kay Ivey,8095,REP
1001030,GENERAL ELECTION 2018,30,Escambia,1001000,GOVERNOR,3,Write-In,19,NON
1001030,GENERAL ELECTION 2018,31,Etowah,1000940,AL-04,1,Lee Auman,8964,DEM
1001030,GENERAL ELECTION 2018,31,Etowah,1000940,AL-04,2,Robert Aderholt,25281,REP
1001030,GENERAL ELECTION 2018,31,Etowah,1000940,AL-04,3,Write-In,29,NON
1001030,GENERAL ELECTION 2018,31,Etowah,1001000,GOVERNOR,1,Walt Maddox,10465,DEM
1001030,GENERAL ELECTION 2018,31,Etowah,1001000,GOVERNOR,2,Kay Ivey,23940,REP
1001030,GENERAL ELECTION 2018,31,Etowah,1001000,GOVERNOR,3,Write-In,92,NON
1001030,GENERAL ELECTION 2018,32,Fayette,1000940,AL-04,1,Lee Auman,1482,DEM
1001030,GENERAL ELECTION 2018,32,Fayette,1000940,AL-04,2,Robert Aderholt,5847,REP
1001030,GENERAL ELECTION 2018,32,Fayette,1000940,AL-04,3,Write-In,11,NON
1001030,GENERAL ELECTION 2018,32,Fayette,1001000,GOVERNOR,1,Walt Maddox,2014,DEM
1001030,GENERAL ELECTION 2018,32,Fayette,1001000,GOVERNOR,2,Kay Ivey,5450,REP
1001030,GENERAL ELECTION 2018,32,Fayette,1001000,GOVERNOR,3,Write-In,9,NON
1001030,GENERAL ELECTION 2018,33,Franklin,1000940,AL-04,1,Lee Auman,1866,DEM
1001030,GENERAL ELECTION 2018,33,Franklin,1000940,AL-04,2,Robert Aderholt,6837,REP
1001030,GENERAL ELECTION 2018,33,Franklin,1000940,AL-04,3,Write-In,13,NON
1001030,GENERAL ELECTION 2018,33,Franklin,1001000,GOVERNOR,1,Walt Maddox,2334,DEM
1001030,GENERAL ELECTION 2018,33,Franklin,1001000,GOVERNOR,2,Kay Ivey,6451,REP
1001030,GENERAL ELECTION 2018,33,Franklin,1001000,GOVERNOR,3,Write-In,22,NON
1001030,GENERAL ELECTION 2018,34,Geneva,1000920,AL-02,1,Tabitha Isner,1542,DEM
1001030,GENERAL ELECTION 2018,34,Geneva,1000920,AL-02,2,Martha Roby,7362,REP
1001030,GENERAL ELECTION 2018,34,Geneva,1000920,AL-02,3,Write-In,32,NON
1001030,GENERAL ELECTION 2018,34,Geneva,1001000,GOVERNOR,1,Walt Maddox,1219,DEM
1001030,GENERAL ELECTION 2018,34,Geneva,1001000,GOVERNOR,2,Kay Ivey,7780,REP
1001030,GENERAL ELECTION 2018,34,Geneva,1001000,GOVERNOR,3,Write-In,15,NON
1001030,GENERAL ELECTION 2018,35,Greene,1000970,AL-07,1,Terri A. Sewell,3610,DEM
1001030,GENERAL ELECTION 2018,35,Greene,1000970,AL-07,2,Write-In,22,NON
1001030,GENERAL ELECTION 2018,35,Greene,1001000,GOVERNOR,1,Walt Maddox,3506,DEM
1001030,GENERAL ELECTION 2018,35,Greene,1001000,GOVERNOR,2,Kay Ivey,661,REP
1001030,GENERAL ELECTION 2018,35,Greene,1001000,GOVERNOR,3,Write-In,1,NON
1001030,GENERAL ELECTION 2018,36,Hale,1000970,AL-07,1,Terri A. Sewell,4657,DEM
1001030,GENERAL ELECTION 2018,36,Hale,1000970,AL-07,2,Write-In,109,NON
1001030,GENERAL ELECTION 2018,36,Hale,1001000,GOVERNOR,1,Walt Maddox,4204,DEM
1001030,GENERAL ELECTION 2018,36,Hale,1001000,GOVERNOR,2,Kay Ivey,2361,REP
1001030,GENERAL ELECTION 2018,36,Hale,1001000,GOVERNOR,3,Write-In,5,NON
1001030,GENERAL ELECTION 2018,37,Henry,1000920,AL-02,1,Tabitha Isner,2245,DEM
1001030,GENERAL ELECTION 2018,37,Henry,1000920,AL-02,2,Martha Roby,4416,REP
